Year,District Code,District Name,NSPF School Code,School Name,School Type,Total Index Score,Star Rating,Title I Status,% Proficient ELA,% Proficient Math,% Proficient Science,95% Participation Met Mathematics,95% Participation Met ELA,Participation Warning,Participation Penalty,Continuing Participation Penalty,% Meeting AGP ELA,% Meeting AGP Math,% Meeting AGP EL,NAC 389.445 Credit Requirements (8th Grade),9th Grade Credit Sufficiency,CCR Participation,CCR Completion,Advanced Diploma,4-Year Graduation Rate,5-Year Graduation Rate,Chronic Absenteeism,CSI,Yrs In Designation As CSI,TSI,Yrs In Designation As TSI,ATSI,Yrs In Designation As ATSI,district_id,district_name,year
2025,1,Churchill,1205.1,Best ES,Regular,33.3,Not Rated,YES,22.6,28.1,,YES,YES,NO,NO,NO,,,51.5,,,,,,,,14.0,NO,,NO,,NO,,64826,Carson City,2025
2025,1,Churchill,1206.1,Lahontan ES,Regular,82.5,Not Rated,YES,,,,,,NO,NO,NO,,,66.6,,,,,,,,13.6,NO,,NO,,NO,,64826,Carson City,2025
2025,1,Churchill,1207.1,Numa ES,Regular,36.8,2,YES,40.3,24.7,9.2,YES,YES,NO,NO,NO,49.0,24.3,40.0,,,,,,,,14.2,NO,,YES,,NO,,64826,Carson City,2025
2025,1,Churchill,1301.2,Churchill MS,Regular,23.0,1,YES,26.9,15.0,23.3,YES,YES,NO,NO,NO,28.0,13.6,20.0,71.1,,,,,,,14.1,NO,,NO,,YES,3.0,64826,Carson City,2025
2025,1,Churchill,1401.3,Churchill HS,Regular,56.5,3,NO,28.3,7.6,23.6,YES,YES,NO,NO,NO,,,9.0,,89.3,58.9,49.3,31.6,88.3,87.3,35.9,NO,,NO,,NO,,64826,Carson City,2025
2025,2,Clark,2060.1,Thompson T ES,Regular,85.5,5,NO,67.2,63.4,21.1,YES,YES,NO,NO,NO,71.2,60.6,45.7,,,,,,,,17.2,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2061.1,Abston ES,Regular,52.5,3,YES,52.1,45.3,22.2,YES,YES,NO,NO,NO,52.9,37.5,66,,,,,,,,23.6,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2062.1,Jenkins ES,Regular,42.5,2,YES,46.1,42.8,17.9,YES,YES,NO,NO,NO,54.4,39.4,32,,,,,,,,21,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2064.1,Ellis ES,Regular,71.0,4,NO,66.9,61.5,25,YES,YES,NO,NO,NO,71.2,43.6,78.9,,,,,,,,14.7,NO,,NO,,YES,1.0,64827,Churchill,2025
2025,2,Clark,2065.1,Ortwein ES,Regular,53.0,3,NO,53.6,43.6,22.3,YES,YES,NO,NO,NO,58.9,39,41.9,,,,,,,,18.3,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2066.1,Barber ES,Regular,71.5,4,YES,59.5,50.8,24.8,YES,YES,NO,NO,NO,70,50.2,50,,,,,,,,20.8,NO,,YES,,NO,,64827,Churchill,2025
2025,2,Clark,2067.1,Divich ES,Regular,79.5,4,NO,64.9,56.7,25.6,YES,YES,NO,NO,NO,70.8,51.4,50,,,,,,,,12.6,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2068.1,Jones Blackhurst ES,Regular,87.0,5,NO,70.8,59.7,37.2,YES,YES,NO,NO,NO,73.5,54.3,75,,,,,,,,8.8,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2069.1,Vassiliadis ES,Regular,95.0,5,NO,81.2,80.5,54.1,YES,YES,NO,NO,NO,77.5,70.8,65.7,,,,,,,,6.4,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2070.1,Berkley ES,Regular,70.0,4,NO,65.7,57.9,29.2,YES,YES,NO,NO,NO,70.4,46,45.6,,,,,,,,15.5,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2071.1,Stevens ES,Regular,78.0,4,YES,65.5,52.3,36.5,YES,YES,NO,NO,NO,70.4,57.8,30.7,,,,,,,,22.3,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2072.1,Mathis ES,Regular,67.5,4,NO,58.3,59.8,22.4,YES,YES,NO,NO,NO,60,48.1,63,,,,,,,,15,NO,,NO,,YES,3.0,64827,Churchill,2025
2025,2,Clark,2073.1,Heard ES,Regular,62.0,3,YES,46.8,48.3,16.8,YES,YES,NO,NO,NO,55.4,43,60.2,,,,,,,,<5,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2074.1,Snyder D ES,Regular,50.0,3,NO,52.5,38,15,YES,YES,NO,NO,NO,58.9,27.5,61.2,,,,,,,,16,NO,,NO,,YES,2.0,64827,Churchill,2025
2025,2,Clark,2075.1,NWCTA ES,Regular,95.0,Not Rated,NO,,,,,,NO,NO,NO,,,,,,,,,,,5,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2076.1,Duncan ES,Regular,27.0,2,YES,33.5,23.8,5.2,YES,YES,YES,NO,NO,45.1,25,40,,,,,,,,24.2,NO,,NO,,YES,3.0,64827,Churchill,2025
2025,2,Clark,2077.1,Wallin ES,Regular,74.5,4,NO,70.2,67.7,35.3,YES,YES,NO,NO,NO,65.5,48.2,64.2,,,,,,,,15.7,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2078.1,Stuckey ES,Regular,90.0,5,NO,63.9,56.9,33.7,YES,YES,NO,NO,NO,74.8,61,56,,,,,,,,16.1,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2079.1,Keller  ES,Regular,62.0,3,YES,46.5,37.1,6.8,YES,YES,NO,NO,NO,62.5,41.6,41.9,,,,,,,,15.4,NO,,NO,,YES,2.0,64827,Churchill,2025
2025,2,Clark,2080.1,Fine  ES,Regular,45.5,2,NO,46,40.1,18.6,YES,YES,NO,NO,NO,51.7,40,50.6,,,,,,,,23.7,NO,,NO,,YES,3.0,64827,Churchill,2025
2025,2,Clark,2081.1,Bozarth ES,Regular,90.0,5,NO,68.4,59.2,24.6,YES,YES,NO,NO,NO,74.5,53.9,77.7,,,,,,,,12.7,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2082.1,Triggs ES,Regular,66.5,3,NO,54.9,46.8,16.2,YES,YES,NO,NO,NO,63.1,42.6,55.5,,,,,,,,17.1,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2083.1,ORoarke ES,Regular,76.5,4,NO,71.7,61.9,48.2,YES,YES,NO,NO,NO,68,55,50,,,,,,,,13.2,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2084.1,Reedom ES,Regular,68.0,4,NO,53.8,53,14.1,YES,YES,NO,NO,NO,55.6,57.6,40.7,,,,,,,,20.1,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2085.1,Diaz ES,Regular,17.0,1,YES,23.5,21.5,5.4,YES,YES,NO,NO,NO,30.4,15.4,40.6,,,,,,,,14,NO,,NO,,YES,1.0,64827,Churchill,2025
2025,2,Clark,2086.1,Scott ES,Regular,34.0,2,YES,26.5,18.9,<5,YES,YES,NO,NO,NO,43,27,40.8,,,,,,,,27.6,NO,,NO,,YES,2.0,64827,Churchill,2025
2025,2,Clark,2087.1,Rainbow Dreams ELA ES,District Charter,35.0,Not Rated,YES,,,,,,NO,NO,NO,,,,,,,,,,,20.3,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2089.1,West Prep ES,Regular,58.0,3,YES,43.1,31.7,11.6,YES,YES,NO,NO,NO,62.2,45.2,30.2,,,,,,,,14.7,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2090.1,Smalley ES,Regular,93.3,5,NO,83.9,77.9,37.6,YES,YES,NO,NO,NO,77.3,68,-,,,,,,,,6.5,NO,,NO,,NO,,64827,Churchill,2025
2025,2,Clark,2091.1,Perkins C ES,Regular,19.5,1,YES,26.1,21.5,<5,YES,YES,NO,NO,NO,39.8,26.9,29.6,,,,,,,,28.6,NO,,NO,,YES,3.0,64827,Churchill,2025
